1  4000	7.81235	0.253037	7.81186	0.253311
2  4000	3.98669	0.0665656	7.9423	0.133233
3  4000	2.71959	0.0273532	8.09705	0.0810126
4  4000	2.08664	0.0220173	8.25435	0.0890807
5  4000	1.84533	0.154776	9.10162	0.771415
6  4000	2.6418	0.00393406	15.6894	0.0265578
7  4000	2.27789	0.003043	15.7587	0.021479
8  4000	2.14464	0.0320235	16.9062	0.244653
9  4000	2.13309	0.0287605	16.8384	0.228263
10  4000	2.1664	0.0372665	17.1003	0.303989
11  4000	2.13952	0.0371282	16.8826	0.292844
12  4000	2.14782	0.0282838	16.96	0.224751
13  4000	2.1466	0.0294093	16.9577	0.235728
14  4000	2.14193	0.0268579	16.8972	0.214232
15  4000	2.1296	0.0273899	16.817	0.222034
16  4000	2.14279	0.0299561	16.9219	0.228201
