1  4000	7.80784	0.0144452	7.80783	0.0144446
2  4000	4.38098	0.037593	8.73205	0.0749599
3  4000	2.97154	0.0201821	8.8538	0.0608098
4  4000	2.29269	0.0126712	9.08107	0.0527174
5  4000	2.08475	0.137412	10.3007	0.691329
6  4000	2.77783	0.0228879	16.3897	0.135168
7  4000	2.43805	0.0556793	16.7709	0.372328
8  4000	2.10374	0.00894285	16.5641	0.0745069
9  4000	1.89343	0.0134285	16.7513	0.101888
10  4000	1.83262	0.077521	17.739	0.578636
11  4000	1.98604	0.110971	20.2339	0.869128
12  4000	2.57294	0.0905361	26.4869	0.669088
13  4000	2.68029	0.0820977	27.5819	0.915077
14  4000	2.54351	0.0463864	26.4681	0.342652
15  4000	2.5055	0.0654209	26.1597	0.495352
16  4000	2.3919	0.054249	24.9578	0.420054
